section,group,n
method_x_scene_id,first_question|scene_021,6
method_x_scene_id,first_question|scene_022,4
method_x_scene_id,first_question|scene_023,2
method_x_scene_id,first_question|scene_024,6
method_x_scene_id,first_question|scene_025,4
method_x_scene_id,first_question|scene_026,6
method_x_scene_id,first_question|scene_027,5
method_x_scene_id,first_question|scene_028,3
method_x_scene_id,first_question|scene_029,6
method_x_scene_id,first_question|scene_030,5
method_x_scene_id,first_question|scene_031,6
method_x_scene_id,first_question|scene_032,5
method_x_scene_id,first_question|scene_033,8
method_x_scene_id,first_question|scene_034,6
method_x_scene_id,first_question|scene_035,6
method_x_scene_id,first_question|scene_036,6
method_x_scene_id,proposed_efe|scene_001,8
method_x_scene_id,proposed_efe|scene_002,7
method_x_scene_id,proposed_efe|scene_003,9
method_x_scene_id,proposed_efe|scene_004,9
method_x_scene_id,proposed_efe|scene_005,10
method_x_scene_id,proposed_efe|scene_006,8
method_x_scene_id,proposed_efe|scene_007,5
method_x_scene_id,proposed_efe|scene_008,6
method_x_scene_id,proposed_efe|scene_009,4
method_x_scene_id,proposed_efe|scene_010,6
method_x_scene_id,proposed_efe|scene_011,6
method_x_scene_id,proposed_efe|scene_012,6
method_x_scene_id,proposed_efe|scene_013,6
method_x_scene_id,proposed_efe|scene_014,6
method_x_scene_id,proposed_efe|scene_015,6
method_x_scene_id,proposed_efe|scene_016,5
method_x_scene_id,proposed_efe|scene_017,4
method_x_scene_id,proposed_efe|scene_018,7
method_x_scene_id,proposed_efe|scene_019,6
method_x_scene_id,proposed_efe|scene_020,4
method_x_scene_id,proposed_efe|scene_021,7
method_x_scene_id,proposed_efe|scene_022,6
method_x_scene_id,proposed_efe|scene_023,4
method_x_scene_id,proposed_efe|scene_024,6
method_x_scene_id,proposed_efe|scene_025,6
method_x_scene_id,proposed_efe|scene_026,6
method_x_scene_id,proposed_efe|scene_027,4
method_x_scene_id,proposed_efe|scene_028,6
method_x_scene_id,proposed_efe|scene_029,5
method_x_scene_id,proposed_efe|scene_030,6
method_x_scene_id,proposed_efe|scene_031,5
method_x_scene_id,proposed_efe|scene_032,5
method_x_scene_id,proposed_efe|scene_033,6
method_x_scene_id,proposed_efe|scene_034,4
method_x_scene_id,proposed_efe|scene_035,6
method_x_scene_id,proposed_efe|scene_036,6
method_x_scene_id,random_candidate|scene_001,9
method_x_scene_id,random_candidate|scene_002,10
method_x_scene_id,random_candidate|scene_003,7
method_x_scene_id,random_candidate|scene_004,7
method_x_scene_id,random_candidate|scene_005,9
method_x_scene_id,random_candidate|scene_006,9
method_x_scene_id,random_candidate|scene_007,6
method_x_scene_id,random_candidate|scene_008,5
method_x_scene_id,random_candidate|scene_009,5
method_x_scene_id,random_candidate|scene_010,6
method_x_scene_id,random_candidate|scene_011,5
method_x_scene_id,random_candidate|scene_012,4
method_x_scene_id,random_candidate|scene_013,6
method_x_scene_id,random_candidate|scene_014,6
method_x_scene_id,random_candidate|scene_015,6
method_x_scene_id,random_candidate|scene_016,4
method_x_scene_id,random_candidate|scene_017,5
method_x_scene_id,random_candidate|scene_018,6
method_x_scene_id,random_candidate|scene_019,6
method_x_scene_id,random_candidate|scene_020,5
method_x_scene_id,random_candidate|scene_021,6
method_x_scene_id,random_candidate|scene_022,6
method_x_scene_id,random_candidate|scene_023,6
method_x_scene_id,random_candidate|scene_024,5
method_x_scene_id,random_candidate|scene_025,6
method_x_scene_id,random_candidate|scene_026,6
method_x_scene_id,random_candidate|scene_027,6
method_x_scene_id,random_candidate|scene_028,6
method_x_scene_id,random_candidate|scene_029,6
method_x_scene_id,random_candidate|scene_030,6
method_x_scene_id,random_candidate|scene_031,6
method_x_scene_id,random_candidate|scene_032,5
method_x_scene_id,random_candidate|scene_033,3
method_x_scene_id,random_candidate|scene_034,6
method_x_scene_id,random_candidate|scene_035,5
method_x_scene_id,random_candidate|scene_036,6
method_x_scene_id,random_question|scene_001,9
method_x_scene_id,random_question|scene_002,8
method_x_scene_id,random_question|scene_003,8
method_x_scene_id,random_question|scene_004,8
method_x_scene_id,random_question|scene_005,9
method_x_scene_id,random_question|scene_006,9
method_x_scene_id,random_question|scene_007,6
method_x_scene_id,random_question|scene_008,5
method_x_scene_id,random_question|scene_009,6
method_x_scene_id,random_question|scene_010,6
method_x_scene_id,random_question|scene_011,6
method_x_scene_id,random_question|scene_012,6
method_x_scene_id,random_question|scene_013,5
method_x_scene_id,random_question|scene_014,5
method_x_scene_id,random_question|scene_015,6
method_x_scene_id,random_question|scene_016,6
method_x_scene_id,random_question|scene_017,6
method_x_scene_id,random_question|scene_018,5
method_x_scene_id,random_question|scene_019,6
method_x_scene_id,random_question|scene_020,3
method_x_scene_id,random_question|scene_021,7
method_x_scene_id,random_question|scene_022,5
method_x_scene_id,random_question|scene_023,6
method_x_scene_id,random_question|scene_024,6
method_x_scene_id,random_question|scene_025,6
method_x_scene_id,random_question|scene_026,7
method_x_scene_id,random_question|scene_027,6
method_x_scene_id,random_question|scene_028,7
method_x_scene_id,random_question|scene_029,4
method_x_scene_id,random_question|scene_030,5
method_x_scene_id,random_question|scene_031,4
method_x_scene_id,random_question|scene_032,5
method_x_scene_id,random_question|scene_033,6
method_x_scene_id,random_question|scene_034,4
method_x_scene_id,random_question|scene_035,5
method_x_scene_id,random_question|scene_036,5
method_x_scene_id,top_score|scene_001,9
method_x_scene_id,top_score|scene_002,9
method_x_scene_id,top_score|scene_003,6
method_x_scene_id,top_score|scene_004,9
method_x_scene_id,top_score|scene_005,7
method_x_scene_id,top_score|scene_006,7
method_x_scene_id,top_score|scene_007,7
method_x_scene_id,top_score|scene_008,7
method_x_scene_id,top_score|scene_009,6
method_x_scene_id,top_score|scene_010,6
method_x_scene_id,top_score|scene_011,5
method_x_scene_id,top_score|scene_012,7
method_x_scene_id,top_score|scene_013,6
method_x_scene_id,top_score|scene_014,5
method_x_scene_id,top_score|scene_015,6
method_x_scene_id,top_score|scene_016,6
method_x_scene_id,top_score|scene_017,5
method_x_scene_id,top_score|scene_018,6
method_x_scene_id,top_score|scene_019,6
method_x_scene_id,top_score|scene_020,5
method_x_scene_id,top_score|scene_021,8
method_x_scene_id,top_score|scene_022,5
method_x_scene_id,top_score|scene_023,5
method_x_scene_id,top_score|scene_024,4
method_x_scene_id,top_score|scene_025,5
method_x_scene_id,top_score|scene_026,6
method_x_scene_id,top_score|scene_027,6
method_x_scene_id,top_score|scene_028,5
method_x_scene_id,top_score|scene_029,5
method_x_scene_id,top_score|scene_030,5
method_x_scene_id,top_score|scene_031,6
method_x_scene_id,top_score|scene_032,6
method_x_scene_id,top_score|scene_033,5
method_x_scene_id,top_score|scene_034,6
method_x_scene_id,top_score|scene_035,5
method_x_scene_id,top_score|scene_036,4
method_x_scene_id,vlm_best_question|scene_001,9
method_x_scene_id,vlm_best_question|scene_002,8
method_x_scene_id,vlm_best_question|scene_003,7
method_x_scene_id,vlm_best_question|scene_004,8
method_x_scene_id,vlm_best_question|scene_005,8
method_x_scene_id,vlm_best_question|scene_006,8
method_x_scene_id,vlm_best_question|scene_007,6
method_x_scene_id,vlm_best_question|scene_008,6
method_x_scene_id,vlm_best_question|scene_009,6
method_x_scene_id,vlm_best_question|scene_010,4
method_x_scene_id,vlm_best_question|scene_011,5
method_x_scene_id,vlm_best_question|scene_012,6
method_x_scene_id,vlm_best_question|scene_013,6
method_x_scene_id,vlm_best_question|scene_014,6
method_x_scene_id,vlm_best_question|scene_015,6
method_x_scene_id,vlm_best_question|scene_016,6
method_x_scene_id,vlm_best_question|scene_017,6
method_x_scene_id,vlm_best_question|scene_018,6
method_x_scene_id,vlm_best_question|scene_019,6
method_x_scene_id,vlm_best_question|scene_020,6
method_x_scene_id,vlm_best_question|scene_021,6
method_x_scene_id,vlm_best_question|scene_022,6
method_x_scene_id,vlm_best_question|scene_023,6
method_x_scene_id,vlm_best_question|scene_024,6
method_x_scene_id,vlm_best_question|scene_025,5
method_x_scene_id,vlm_best_question|scene_026,3
method_x_scene_id,vlm_best_question|scene_027,6
method_x_scene_id,vlm_best_question|scene_028,6
method_x_scene_id,vlm_best_question|scene_029,6
method_x_scene_id,vlm_best_question|scene_030,6
method_x_scene_id,vlm_best_question|scene_031,5
method_x_scene_id,vlm_best_question|scene_032,5
method_x_scene_id,vlm_best_question|scene_033,5
method_x_scene_id,vlm_best_question|scene_034,4
method_x_scene_id,vlm_best_question|scene_035,6
method_x_scene_id,vlm_best_question|scene_036,6
method_x_scene_id,vlm_direct|scene_001,9
method_x_scene_id,vlm_direct|scene_002,9
method_x_scene_id,vlm_direct|scene_003,8
method_x_scene_id,vlm_direct|scene_004,8
method_x_scene_id,vlm_direct|scene_005,8
method_x_scene_id,vlm_direct|scene_006,7
method_x_scene_id,vlm_direct|scene_007,6
method_x_scene_id,vlm_direct|scene_008,6
method_x_scene_id,vlm_direct|scene_009,7
method_x_scene_id,vlm_direct|scene_010,5
method_x_scene_id,vlm_direct|scene_011,5
method_x_scene_id,vlm_direct|scene_012,1
method_x_scene_id,vlm_direct|scene_013,6
method_x_scene_id,vlm_direct|scene_014,6
method_x_scene_id,vlm_direct|scene_015,6
method_x_scene_id,vlm_direct|scene_016,5
method_x_scene_id,vlm_direct|scene_017,7
method_x_scene_id,vlm_direct|scene_018,5
method_x_scene_id,vlm_direct|scene_019,4
method_x_scene_id,vlm_direct|scene_020,6
method_x_scene_id,vlm_direct|scene_021,6
method_x_scene_id,vlm_direct|scene_022,6
method_x_scene_id,vlm_direct|scene_023,6
method_x_scene_id,vlm_direct|scene_024,5
method_x_scene_id,vlm_direct|scene_025,6
method_x_scene_id,vlm_direct|scene_026,5
method_x_scene_id,vlm_direct|scene_027,6
method_x_scene_id,vlm_direct|scene_028,6
method_x_scene_id,vlm_direct|scene_029,6
method_x_scene_id,vlm_direct|scene_030,6
method_x_scene_id,vlm_direct|scene_031,6
method_x_scene_id,vlm_direct|scene_032,5
method_x_scene_id,vlm_direct|scene_033,5
method_x_scene_id,vlm_direct|scene_034,6
method_x_scene_id,vlm_direct|scene_035,6
method_x_scene_id,vlm_direct|scene_036,6
method_x_scene_type,first_question|bottle_only,35
method_x_scene_type,first_question|cup_only,73
method_x_scene_type,first_question|mixed,56
method_x_scene_type,first_question|utensil_only,52
method_x_scene_type,proposed_efe|bottle_only,36
method_x_scene_type,proposed_efe|cup_only,72
method_x_scene_type,proposed_efe|mixed,53
method_x_scene_type,proposed_efe|utensil_only,55
method_x_scene_type,random_candidate|bottle_only,33
method_x_scene_type,random_candidate|cup_only,73
method_x_scene_type,random_candidate|mixed,55
method_x_scene_type,random_candidate|utensil_only,55
method_x_scene_type,random_question|bottle_only,35
method_x_scene_type,random_question|cup_only,74
method_x_scene_type,random_question|mixed,51
method_x_scene_type,random_question|utensil_only,56
method_x_scene_type,top_score|bottle_only,35
method_x_scene_type,top_score|cup_only,73
method_x_scene_type,top_score|mixed,53
method_x_scene_type,top_score|utensil_only,55
method_x_scene_type,vlm_best_question|bottle_only,32
method_x_scene_type,vlm_best_question|cup_only,70
method_x_scene_type,vlm_best_question|mixed,55
method_x_scene_type,vlm_best_question|utensil_only,59
method_x_scene_type,vlm_direct|bottle_only,29
method_x_scene_type,vlm_direct|cup_only,73
method_x_scene_type,vlm_direct|mixed,58
method_x_scene_type,vlm_direct|utensil_only,56
