scene_id,method,mean_num_questions,median_num_questions,n_asked_trials,context
scene_030,proposed_efe,1.25,1.0,4,overall_asked_only
scene_030,random_question,1.4,1.0,5,overall_asked_only
scene_030,vlm_best_question,1.2,1.0,5,overall_asked_only
scene_031,first_question,2.0,2.0,2,overall_asked_only
scene_031,proposed_efe,1.0,1.0,1,overall_asked_only
scene_031,random_question,1.0,1.0,1,overall_asked_only
scene_031,vlm_best_question,2.0,2.0,2,overall_asked_only
scene_032,first_question,2.0,2.0,2,overall_asked_only
scene_032,proposed_efe,2.0,2.0,2,overall_asked_only
scene_032,random_question,2.0,2.0,2,overall_asked_only
scene_032,vlm_best_question,2.0,2.0,2,overall_asked_only
scene_033,first_question,1.6666666666666667,2.0,3,overall_asked_only
scene_033,proposed_efe,1.3333333333333333,1.0,3,overall_asked_only
scene_033,random_question,1.6666666666666667,2.0,3,overall_asked_only
scene_033,vlm_best_question,1.5,1.5,2,overall_asked_only
scene_034,first_question,1.6666666666666667,2.0,3,overall_asked_only
scene_034,proposed_efe,2.0,2.0,2,overall_asked_only
scene_034,random_question,1.0,1.0,1,overall_asked_only
scene_034,vlm_best_question,1.0,1.0,1,overall_asked_only
scene_035,first_question,2.0,2.0,2,overall_asked_only
scene_035,proposed_efe,2.0,2.0,3,overall_asked_only
scene_035,random_question,2.0,2.0,1,overall_asked_only
scene_035,vlm_best_question,2.5,2.5,2,overall_asked_only
scene_036,first_question,2.0,2.0,3,overall_asked_only
scene_036,proposed_efe,1.6666666666666667,2.0,3,overall_asked_only
scene_036,random_question,2.0,2.0,3,overall_asked_only
scene_036,vlm_best_question,1.6666666666666667,2.0,3,overall_asked_only
scene_001,first_question,4.333333333333333,5.0,3,ambiguous_asked_only
scene_001,proposed_efe,3.0,3.0,2,ambiguous_asked_only
scene_001,random_question,3.6666666666666665,3.0,3,ambiguous_asked_only
scene_001,vlm_best_question,4.666666666666667,4.0,3,ambiguous_asked_only
scene_002,first_question,3.6666666666666665,5.0,3,ambiguous_asked_only
scene_002,proposed_efe,2.6666666666666665,2.0,3,ambiguous_asked_only
scene_002,random_question,3.3333333333333335,4.0,3,ambiguous_asked_only
scene_002,vlm_best_question,4.0,4.0,3,ambiguous_asked_only
scene_003,first_question,2.6666666666666665,3.0,3,ambiguous_asked_only
scene_003,proposed_efe,2.0,2.0,3,ambiguous_asked_only
scene_003,random_question,3.6666666666666665,4.0,3,ambiguous_asked_only
scene_003,vlm_best_question,2.3333333333333335,3.0,3,ambiguous_asked_only
scene_004,first_question,4.0,4.0,2,ambiguous_asked_only
scene_004,proposed_efe,2.6666666666666665,2.0,3,ambiguous_asked_only
scene_004,random_question,2.6666666666666665,3.0,3,ambiguous_asked_only
scene_004,vlm_best_question,3.6666666666666665,4.0,3,ambiguous_asked_only
scene_005,first_question,3.6666666666666665,4.0,3,ambiguous_asked_only
scene_005,proposed_efe,3.5,4.0,4,ambiguous_asked_only
scene_005,random_question,3.0,2.0,3,ambiguous_asked_only
scene_005,vlm_best_question,4.666666666666667,5.0,3,ambiguous_asked_only
scene_006,first_question,5.333333333333333,5.0,3,ambiguous_asked_only
scene_006,proposed_efe,2.5,2.5,2,ambiguous_asked_only
scene_006,random_question,5.0,5.0,3,ambiguous_asked_only
scene_006,vlm_best_question,5.0,5.0,3,ambiguous_asked_only
scene_007,first_question,4.0,4.0,2,ambiguous_asked_only
scene_007,proposed_efe,1.0,1.0,1,ambiguous_asked_only
scene_007,random_question,3.5,3.5,2,ambiguous_asked_only
scene_007,vlm_best_question,4.0,4.0,2,ambiguous_asked_only
scene_008,first_question,5.0,5.0,1,ambiguous_asked_only
scene_008,proposed_efe,2.5,2.5,2,ambiguous_asked_only
scene_008,random_question,4.5,4.5,2,ambiguous_asked_only
scene_008,vlm_best_question,4.5,4.5,2,ambiguous_asked_only
scene_009,first_question,4.0,4.0,2,ambiguous_asked_only
scene_009,proposed_efe,3.0,3.0,2,ambiguous_asked_only
scene_009,random_question,4.0,4.0,2,ambiguous_asked_only
scene_009,vlm_best_question,3.0,3.0,3,ambiguous_asked_only
scene_010,first_question,4.0,4.0,2,ambiguous_asked_only
scene_010,proposed_efe,3.0,3.0,2,ambiguous_asked_only
scene_010,random_question,4.0,4.0,2,ambiguous_asked_only
scene_011,first_question,3.0,3.0,2,ambiguous_asked_only
scene_011,proposed_efe,3.0,3.0,2,ambiguous_asked_only
scene_011,random_question,3.0,3.0,2,ambiguous_asked_only
scene_011,vlm_best_question,3.0,3.0,1,ambiguous_asked_only
scene_012,first_question,2.0,2.0,2,ambiguous_asked_only
scene_012,proposed_efe,1.0,1.0,2,ambiguous_asked_only
scene_012,random_question,2.5,2.5,2,ambiguous_asked_only
scene_012,vlm_best_question,2.5,2.5,2,ambiguous_asked_only
scene_013,first_question,2.0,2.0,2,ambiguous_asked_only
scene_013,proposed_efe,2.0,2.0,2,ambiguous_asked_only
scene_013,random_question,2.5,2.5,2,ambiguous_asked_only
scene_013,vlm_best_question,2.5,2.5,2,ambiguous_asked_only
scene_014,first_question,2.0,2.0,2,ambiguous_asked_only
scene_014,proposed_efe,2.0,2.0,2,ambiguous_asked_only
scene_014,random_question,2.0,2.0,2,ambiguous_asked_only
scene_014,vlm_best_question,1.5,1.5,2,ambiguous_asked_only
scene_015,first_question,2.0,2.0,2,ambiguous_asked_only
scene_015,proposed_efe,1.5,1.5,2,ambiguous_asked_only
scene_015,random_question,3.0,3.0,2,ambiguous_asked_only
scene_015,vlm_best_question,2.0,2.0,2,ambiguous_asked_only
scene_016,first_question,2.5,2.5,2,ambiguous_asked_only
scene_016,proposed_efe,2.0,2.0,1,ambiguous_asked_only
scene_016,random_question,2.5,2.5,2,ambiguous_asked_only
scene_016,vlm_best_question,2.5,2.5,2,ambiguous_asked_only
scene_017,proposed_efe,2.5,2.5,2,ambiguous_asked_only
scene_017,random_question,2.0,2.0,1,ambiguous_asked_only
scene_017,vlm_best_question,3.0,3.0,2,ambiguous_asked_only
scene_018,first_question,1.0,1.0,1,ambiguous_asked_only
scene_018,proposed_efe,1.0,1.0,1,ambiguous_asked_only
scene_018,random_question,1.0,1.0,1,ambiguous_asked_only
scene_019,first_question,2.0,2.0,1,ambiguous_asked_only
scene_019,proposed_efe,2.0,2.0,1,ambiguous_asked_only
scene_019,random_question,2.0,2.0,1,ambiguous_asked_only
scene_019,vlm_best_question,2.0,2.0,1,ambiguous_asked_only
scene_020,first_question,4.0,4.0,1,ambiguous_asked_only
scene_020,proposed_efe,4.0,4.0,1,ambiguous_asked_only
scene_020,vlm_best_question,4.0,4.0,1,ambiguous_asked_only
scene_021,first_question,4.0,4.0,1,ambiguous_asked_only
scene_021,proposed_efe,4.0,4.0,1,ambiguous_asked_only
scene_021,random_question,4.0,4.0,1,ambiguous_asked_only
scene_021,vlm_best_question,5.0,5.0,1,ambiguous_asked_only
scene_022,first_question,4.0,4.0,1,ambiguous_asked_only
scene_022,proposed_efe,3.0,3.0,1,ambiguous_asked_only
scene_022,random_question,4.0,4.0,1,ambiguous_asked_only
scene_022,vlm_best_question,2.0,2.0,1,ambiguous_asked_only
scene_023,first_question,5.0,5.0,1,ambiguous_asked_only
scene_023,proposed_efe,3.0,3.0,1,ambiguous_asked_only
scene_023,random_question,3.5,3.5,2,ambiguous_asked_only
scene_023,vlm_best_question,2.5,2.5,2,ambiguous_asked_only
scene_024,first_question,2.5,2.5,2,ambiguous_asked_only
scene_024,proposed_efe,2.0,2.0,2,ambiguous_asked_only
scene_024,random_question,2.5,2.5,2,ambiguous_asked_only
scene_024,vlm_best_question,2.0,2.0,2,ambiguous_asked_only
scene_025,first_question,2.0,2.0,2,ambiguous_asked_only
scene_025,proposed_efe,2.0,2.0,2,ambiguous_asked_only
scene_025,random_question,2.5,2.5,2,ambiguous_asked_only
scene_025,vlm_best_question,2.0,2.0,2,ambiguous_asked_only
scene_026,first_question,2.0,2.0,2,ambiguous_asked_only
scene_026,proposed_efe,2.0,2.0,2,ambiguous_asked_only
scene_026,random_question,2.0,2.0,2,ambiguous_asked_only
scene_026,vlm_best_question,3.0,3.0,1,ambiguous_asked_only
scene_027,first_question,1.5,1.5,2,ambiguous_asked_only
scene_027,proposed_efe,1.0,1.0,1,ambiguous_asked_only
scene_027,random_question,2.0,2.0,2,ambiguous_asked_only
scene_027,vlm_best_question,2.0,2.0,2,ambiguous_asked_only
scene_028,first_question,1.0,1.0,1,ambiguous_asked_only
scene_028,proposed_efe,1.5,1.5,2,ambiguous_asked_only
scene_028,random_question,2.5,2.5,2,ambiguous_asked_only
scene_028,vlm_best_question,2.0,2.0,2,ambiguous_asked_only
scene_029,first_question,2.5,2.5,2,ambiguous_asked_only
scene_029,proposed_efe,2.0,2.0,1,ambiguous_asked_only
scene_029,random_question,4.0,4.0,1,ambiguous_asked_only
scene_029,vlm_best_question,2.0,2.0,2,ambiguous_asked_only
scene_030,first_question,1.5,1.5,2,ambiguous_asked_only
scene_030,proposed_efe,1.5,1.5,2,ambiguous_asked_only
scene_030,random_question,2.0,2.0,2,ambiguous_asked_only
scene_030,vlm_best_question,1.5,1.5,2,ambiguous_asked_only
scene_031,first_question,2.0,2.0,2,ambiguous_asked_only
scene_031,proposed_efe,1.0,1.0,1,ambiguous_asked_only
scene_031,random_question,1.0,1.0,1,ambiguous_asked_only
scene_031,vlm_best_question,2.0,2.0,2,ambiguous_asked_only
scene_032,first_question,2.0,2.0,2,ambiguous_asked_only
scene_032,proposed_efe,2.0,2.0,2,ambiguous_asked_only
scene_032,random_question,2.0,2.0,2,ambiguous_asked_only
scene_032,vlm_best_question,2.0,2.0,2,ambiguous_asked_only
scene_033,first_question,2.0,2.0,2,ambiguous_asked_only
scene_033,proposed_efe,1.5,1.5,2,ambiguous_asked_only
scene_033,random_question,2.0,2.0,2,ambiguous_asked_only
scene_033,vlm_best_question,2.0,2.0,1,ambiguous_asked_only
scene_034,first_question,2.0,2.0,2,ambiguous_asked_only
scene_034,proposed_efe,2.0,2.0,2,ambiguous_asked_only
scene_035,first_question,2.0,2.0,2,ambiguous_asked_only
scene_035,proposed_efe,2.0,2.0,2,ambiguous_asked_only
scene_035,random_question,2.0,2.0,1,ambiguous_asked_only
scene_035,vlm_best_question,2.5,2.5,2,ambiguous_asked_only
scene_036,first_question,2.5,2.5,2,ambiguous_asked_only
scene_036,proposed_efe,2.0,2.0,2,ambiguous_asked_only
scene_036,random_question,2.5,2.5,2,ambiguous_asked_only
scene_036,vlm_best_question,2.0,2.0,2,ambiguous_asked_only
scene_002,first_question,3.0,3.0,2,partial_asked_only
scene_002,proposed_efe,2.0,2.0,1,partial_asked_only
scene_002,random_question,1.0,1.0,1,partial_asked_only
scene_002,vlm_best_question,2.0,2.0,1,partial_asked_only
scene_003,first_question,2.0,2.0,1,partial_asked_only
scene_003,proposed_efe,2.5,2.5,2,partial_asked_only
scene_003,random_question,3.0,3.0,1,partial_asked_only
scene_005,first_question,1.0,1.0,2,partial_asked_only
scene_005,proposed_efe,1.5,1.5,2,partial_asked_only
scene_005,random_question,1.0,1.0,1,partial_asked_only
scene_005,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_006,first_question,1.0,1.0,1,partial_asked_only
scene_006,proposed_efe,1.0,1.0,3,partial_asked_only
scene_006,random_question,1.0,1.0,2,partial_asked_only
scene_006,vlm_best_question,1.0,1.0,2,partial_asked_only
scene_007,first_question,1.0,1.0,1,partial_asked_only
scene_007,proposed_efe,1.0,1.0,1,partial_asked_only
scene_007,random_question,2.0,2.0,1,partial_asked_only
scene_007,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_008,first_question,1.0,1.0,2,partial_asked_only
scene_008,proposed_efe,1.0,1.0,2,partial_asked_only
scene_008,random_question,2.0,2.0,1,partial_asked_only
scene_008,vlm_best_question,1.0,1.0,2,partial_asked_only
scene_009,first_question,2.0,2.0,2,partial_asked_only
scene_009,proposed_efe,3.0,3.0,1,partial_asked_only
scene_009,random_question,2.5,2.5,2,partial_asked_only
scene_009,vlm_best_question,2.0,2.0,1,partial_asked_only
scene_010,first_question,2.5,2.5,2,partial_asked_only
scene_010,proposed_efe,3.0,3.0,2,partial_asked_only
scene_010,random_question,2.5,2.5,2,partial_asked_only
scene_010,vlm_best_question,3.0,3.0,2,partial_asked_only
scene_011,proposed_efe,1.0,1.0,1,partial_asked_only
scene_012,proposed_efe,1.0,1.0,1,partial_asked_only
scene_012,random_question,1.0,1.0,2,partial_asked_only
scene_012,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_013,first_question,1.0,1.0,1,partial_asked_only
scene_013,proposed_efe,1.0,1.0,2,partial_asked_only
scene_013,random_question,1.0,1.0,1,partial_asked_only
scene_013,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_014,first_question,1.0,1.0,1,partial_asked_only
scene_014,proposed_efe,1.0,1.0,2,partial_asked_only
scene_014,random_question,1.0,1.0,1,partial_asked_only
scene_014,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_015,first_question,1.0,1.0,1,partial_asked_only
scene_015,proposed_efe,1.0,1.0,1,partial_asked_only
scene_015,random_question,1.0,1.0,2,partial_asked_only
scene_015,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_017,first_question,1.0,1.0,1,partial_asked_only
scene_017,random_question,1.0,1.0,1,partial_asked_only
scene_017,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_020,vlm_best_question,1.0,1.0,2,partial_asked_only
scene_021,first_question,1.0,1.0,2,partial_asked_only
scene_021,proposed_efe,1.0,1.0,3,partial_asked_only
scene_021,random_question,1.0,1.0,2,partial_asked_only
scene_021,vlm_best_question,1.0,1.0,2,partial_asked_only
scene_022,first_question,1.0,1.0,2,partial_asked_only
scene_022,proposed_efe,1.0,1.0,2,partial_asked_only
scene_022,random_question,1.0,1.0,1,partial_asked_only
scene_022,vlm_best_question,1.0,1.0,2,partial_asked_only
scene_023,proposed_efe,1.0,1.0,2,partial_asked_only
scene_023,random_question,2.0,2.0,2,partial_asked_only
scene_023,vlm_best_question,1.0,1.0,2,partial_asked_only
scene_024,first_question,1.0,1.0,1,partial_asked_only
scene_024,proposed_efe,1.0,1.0,1,partial_asked_only
scene_024,random_question,1.0,1.0,1,partial_asked_only
scene_024,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_025,first_question,1.0,1.0,2,partial_asked_only
scene_025,proposed_efe,1.0,1.0,2,partial_asked_only
scene_025,random_question,1.0,1.0,2,partial_asked_only
scene_025,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_027,first_question,1.0,1.0,1,partial_asked_only
scene_027,proposed_efe,1.0,1.0,1,partial_asked_only
scene_027,random_question,1.0,1.0,1,partial_asked_only
scene_027,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_028,first_question,1.0,1.0,1,partial_asked_only
scene_028,proposed_efe,1.0,1.0,1,partial_asked_only
scene_028,random_question,1.0,1.0,1,partial_asked_only
scene_028,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_030,first_question,1.0,1.0,2,partial_asked_only
scene_030,proposed_efe,1.0,1.0,2,partial_asked_only
scene_030,random_question,1.0,1.0,2,partial_asked_only
scene_030,vlm_best_question,1.0,1.0,2,partial_asked_only
scene_033,first_question,1.0,1.0,1,partial_asked_only
scene_033,proposed_efe,1.0,1.0,1,partial_asked_only
scene_033,random_question,1.0,1.0,1,partial_asked_only
scene_033,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_034,first_question,1.0,1.0,1,partial_asked_only
scene_034,random_question,1.0,1.0,1,partial_asked_only
scene_034,vlm_best_question,1.0,1.0,1,partial_asked_only
scene_035,proposed_efe,2.0,2.0,1,partial_asked_only
scene_036,first_question,1.0,1.0,1,partial_asked_only
scene_036,proposed_efe,1.0,1.0,1,partial_asked_only
scene_036,random_question,1.0,1.0,1,partial_asked_only
scene_036,vlm_best_question,1.0,1.0,1,partial_asked_only
